FOD_ID,NWCG_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,STATE,FIPS_NAME,VALUE
1395403,Ventura County Fire Department,2006,12/3/2006 0:00,Human,Misuse of fire by a minor,,30000.0,34.32888888,-118.9011111,CA,Ventura County,5
18897,Superior National Forest,2007,5/5/2007 0:00,Human,Recreation and ceremony,6/4/2007 0:00,75484.0,48.06888889,-90.81138889,MN,Cook County,4
21809,Plumas National Forest,2007,9/3/2007 0:00,Human,Equipment and vehicle use,9/25/2007 0:00,64994.45,40.21333333,-120.8641667,CA,Plumas County,3
24951,Los Padres National Forest,2007,7/4/2007 0:00,Human,Equipment and vehicle use,9/2/2007 0:00,240207.0,34.77916667,-120.09,CA,Santa Barbara County,3
26075,Cleveland National Forest,2007,10/21/2007 0:00,Human,Missing data/not specified/undetermined,11/8/2007 0:00,28476.0,33.74583333,-117.6666667,CA,Orange County,0
26274,Los Padres National Forest,2007,10/20/2007 0:00,Human,Power generation/transmission/distribution,11/15/2007 0:00,45300.0,34.57305556,-118.6983333,CA,Los Angeles County,8
26492,Cleveland National Forest,2007,10/21/2007 0:00,Human,Power generation/transmission/distribution,10/31/2007 0:00,197990.0,33.07444444,-116.7111111,CA,San Diego County,8
26584,Angeles National Forest,2007,10/21/2007 0:00,Human,Misuse of fire by a minor,10/21/2007 0:00,38356.0,34.52444444,-118.3347222,CA,Los Angeles County,5
26626,Cleveland National Forest,2007,10/23/2007 0:00,Human,Other causes,12/1/2007 0:00,49390.0,33.2775,-116.8680556,CA,San Diego County,10
285425,Colville Agency,2007,9/10/2007 0:00,Human,Firearms and explosives use,9/24/2007 0:00,26805.0,48.02,-118.7811,WA,Not Available,11
310783,Uintah and Ouray Agency,2007,6/29/2007 0:00,Human,Missing data/not specified/undetermined,9/18/2007 0:00,43830.0,40.4969,-110.3419,UT,Not Available,0
312053,Alaska Fire Service,2007,6/19/2007 0:00,Human,Missing data/not specified/undetermined,7/19/2007 0:00,56254.0,60.0,-151.28,AK,Not Available,0
319992,Central California District,2007,9/3/2007 0:00,Human,Recreation and ceremony,9/10/2007 0:00,47760.0,37.2083,-121.5011,CA,Santa Clara County,4
337525,Twin  Falls District,2007,7/6/2007 0:00,Human,Power generation/transmission/distribution,7/9/2007 0:00,45862.0,42.7803,-114.3664,ID,Lincoln County,8
352121,Vale District,2007,8/17/2007 0:00,Human,Other causes,9/7/2007 0:00,47860.1,44.085182,-118.196433,OR,Malheur County,10
357636,Salt Lake Field Office,2007,6/5/2007 0:00,Human,Firearms and explosives use,6/15/2007 0:00,25582.0,40.3572,-113.0611,UT,Tooele County,11
383904,San Diego National Wildlife Refuge,2007,10/21/2007 0:00,Human,Recreation and ceremony,10/31/2007 0:00,90440.0,32.608768,-116.577142,CA,Not Available,4
384128,Okefenokee National Wildlife Refuge,2007,4/16/2007 0:00,Human,Missing data/not specified/undetermined,10/10/2007 0:00,191474.0,30.80277778,-82.2725,GA,Not Available,0
400308,Fairbanks Area,2007,4/29/2007 0:00,Human,Missing data/not specified/undetermined,,33452.0,64.13333,-146.8167,AK,Not Available,0
430299,Florida Forest Service,2007,2/25/2007 0:00,Human,Arson/incendiarism,2/27/2007 0:00,43561.5,26.91694,-81.11444,FL,Glades County,2
432291,Florida Forest Service,2007,4/16/2007 0:00,Human,Equipment and vehicle use,4/22/2007 0:00,39000.0,26.18693999,-80.71500002,FL,Broward County,3
1278199,Richfield Field Office,2007,7/19/2007 0:00,Human,Missing data/not specified/undetermined,8/1/2007 0:00,25456.0,39.7192,-111.7417,UT,Juab County,0
27729,Los Padres National Forest,2008,6/8/2008 0:00,Human,Recreation and ceremony,7/10/2008 0:00,81378.0,36.10527778,-121.4308333,CA,Monterey County,4
32663,Sequoia National Forest,2008,6/28/2008 0:00,Human,Recreation and ceremony,7/30/2008 0:00,37026.0,35.41916667,-118.4002778,CA,Kern County,4
33734,Stanislaus National Forest,2008,7/25/2008 0:00,Human,Missing data/not specified/undetermined,9/15/2008 0:00,34091.0,37.5675,-119.9969444,CA,Mariposa County,0
34186,Cleveland National Forest,2008,11/15/2008 0:00,Human,Missing data/not specified/undetermined,11/18/2008 0:00,30305.0,33.87277778,-117.7388889,CA,Orange County,0
335513,Idaho Falls District,2008,8/18/2008 0:00,Human,Equipment and vehicle use,8/20/2008 0:00,31616.2,42.7961,-113.4867,ID,Minidoka County,3
368393,Everglades National Park,2008,5/14/2008 0:00,Human,Missing data/not specified/undetermined,6/4/2008 0:00,39465.0,25.5642,-80.575,FL,Not Available,0
437253,Florida Forest Service,2008,5/2/2008 0:00,Human,Arson/incendiarism,6/13/2008 0:00,38000.0,26.81083,-80.9675,FL,Glades County,2
706908,Texas A & M Forest Service,2008,2/25/2008 0:00,Human,Missing data/not specified/undetermined,2/29/2008 0:00,220000.0,31.74216,-101.0438,TX,Sterling County,0
706950,Texas A & M Forest Service,2008,2/23/2008 0:00,Human,Missing data/not specified/undetermined,3/1/2008 0:00,28625.0,32.71048,-100.9218,TX,Scurry County,0
707116,Texas A & M Forest Service,2008,3/14/2008 0:00,Human,Missing data/not specified/undetermined,3/17/2008 0:00,67500.0,28.3025,-99.43667,TX,Dimmit County,0
707243,Texas A & M Forest Service,2008,3/18/2008 0:00,Human,Missing data/not specified/undetermined,3/22/2008 0:00,25600.0,26.55495,-98.12082,TX,Hidalgo County,0
707282,Texas A & M Forest Service,2008,4/30/2008 0:00,Human,Missing data/not specified/undetermined,5/3/2008 0:00,98168.0,30.63117,-101.5342,TX,Pecos County,0
707516,Texas A & M Forest Service,2008,6/4/2008 0:00,Human,Equipment and vehicle use,6/7/2008 0:00,43241.0,30.48167,-104.32,TX,Presidio County,3
1300447,Capitan District,2008,3/14/2008 0:00,Human,Missing data/not specified/undetermined,3/16/2008 0:00,67008.0,32.835556,-103.437778,NM,Lea County,0
1300715,Kansas Counties,2008,8/4/2008 0:00,Human,Missing data/not specified/undetermined,,38400.0,37.2,-98.8,KS,Barber County,0
39377,Los Padres National Forest,2009,8/8/2009 0:00,Human,Missing data/not specified/undetermined,8/22/2009 0:00,91622.0,34.94972222,-119.9777778,CA,Santa Barbara County,0
41500,Angeles National Forest,2009,8/26/2009 0:00,Human,Arson/incendiarism,9/22/2009 0:00,160371.0,34.2425,-118.1888889,CA,Los Angeles County,2
