FOD_ID,NWCG_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,STATE,FIPS_NAME
127183,Gila National Forest,2000,3/30/2000 0:00,Human,Debris and open burning,4/7/2000 0:00,11000.0,33.50194444,-108.5022222,NM,Not Available
128682,Arapaho and Roosevelt National Forests and Pawnee National Grassland,2000,6/12/2000 0:00,Human,Recreation and ceremony,6/19/2000 0:00,10599.0,40.44527778,-105.3352778,CO,Larimer County
128948,Kaibab National Forest,2000,5/10/2000 0:00,Human,Debris and open burning,6/15/2000 0:00,15427.0,36.31916667,-111.9847222,AZ,Not Available
130130,Santa Fe National Forest,2000,5/29/2000 0:00,Human,Missing data/not specified/undetermined,7/31/2000 0:00,28348.0,35.66777778,-105.6344444,NM,Not Available
133048,Bitterroot National Forest,2000,7/31/2000 0:00,Human,Recreation and ceremony,11/1/2000 0:00,11486.0,46.26916667,-114.2333333,MT,Not Available
135227,Helena - Lewis and Clark National Forest,2000,7/23/2000 0:00,Human,Arson/incendiarism,8/23/2000 0:00,30000.0,46.67,-111.6944444,MT,Not Available
135261,Pike and San Isabel National Forest,2000,6/12/2000 0:00,Human,Smoking,6/25/2000 0:00,10800.0,39.41166667,-105.3947222,CO,Not Available
135309,Sequoia National Forest,2000,7/22/2000 0:00,Human,Missing data/not specified/undetermined,9/6/2000 0:00,75000.0,35.86777778,-118.2838889,CA,Not Available
135944,Black Hills National Forest,2000,8/24/2000 0:00,Human,Arson/incendiarism,9/25/2000 0:00,83508.0,43.73166667,-103.8866667,SD,Not Available
135995,Plumas National Forest,2000,8/17/2000 0:00,Human,Railroad operations and maintenance,9/27/2000 0:00,55261.0,39.91694444,-121.3175,CA,Not Available
136244,Lincoln National Forest,2000,5/11/2000 0:00,Human,Power generation/transmission/distribution,6/19/2000 0:00,16034.0,32.71666667,-105.7180556,NM,Not Available
136248,National Forests in North Carolina,2000,10/28/2000 0:00,Human,Recreation and ceremony,11/9/2000 0:00,10120.0,35.92833333,-81.90833333,NC,Burke County
260893,Standing Rock Agency,2000,10/21/2000 0:00,Human,Missing data/not specified/undetermined,10/22/2000 0:00,12000.0,45.92,-100.5393,SD,Not Available
286231,Yakama Agency,2000,6/23/2000 0:00,Human,Debris and open burning,6/25/2000 0:00,10323.0,46.30769,-120.3144,WA,Not Available
310988,Alaska Fire Service,2000,12/28/2000 0:00,Human,Equipment and vehicle use,1/4/2001 0:00,12891.0,62.9659,-162.8524,AK,Not Available
334887,Boise District,2000,8/7/2000 0:00,Human,Arson/incendiarism,8/10/2000 0:00,31316.0,43.25368,-115.65016,ID,Elmore County
338055,Butte Field Office,2000,8/6/2000 0:00,Human,Missing data/not specified/undetermined,10/20/2000 0:00,17118.0,46.73716,-113.53535,MT,Granite County
338058,Butte Field Office,2000,8/15/2000 0:00,Human,Equipment and vehicle use,9/30/2000 0:00,81220.0,46.20297,-111.27376,MT,Broadwater County
345695,Winnemucca District Office,2000,8/13/2000 0:00,Human,Missing data/not specified/undetermined,8/18/2000 0:00,14892.4,40.5432,-118.6838,NV,Pershing County
345704,Winnemucca District Office,2000,9/8/2000 0:00,Human,Recreation and ceremony,9/15/2000 0:00,12254.8,41.5166,-118.951,NV,Humboldt County
347706,Las Cruces Field Office,2000,4/14/2000 0:00,Human,Missing data/not specified/undetermined,4/18/2000 0:00,18000.0,31.5668,-108.8195,NM,Hidalgo County
347720,Las Cruces Field Office,2000,5/17/2000 0:00,Human,Arson/incendiarism,5/22/2000 0:00,19000.0,32.372,-105.8353,NM,Otero County
361788,Bandelier National Monument,2000,5/5/2000 0:00,Human,Debris and open burning,7/20/2000 0:00,47650.0,35.85004,-106.41665,NM,Not Available
362339,Lake Meredith National Recreation Area,2000,2/22/2000 0:00,Human,Smoking,2/23/2000 0:00,20000.0,35.6075,-101.66,TX,Not Available
364837,Shenandoah National Park,2000,10/29/2000 0:00,Human,Recreation and ceremony,11/16/2000 0:00,16021.0,38.61225,-78.30873,VA,Not Available
374654,Florida Panther National Wildlife Refuge,2000,4/8/2000 0:00,Human,Debris and open burning,4/15/2000 0:00,16500.0,26.09055556,-81.5425,FL,Not Available
375430,Hanford Reach National Monument,2000,6/27/2000 0:00,Human,Equipment and vehicle use,7/2/2000 0:00,163884.0,46.57194444,-119.7727778,WA,Not Available
600627,New Mexico State Forestry Division,2000,3/15/2000 0:00,Human,Missing data/not specified/undetermined,3/15/2000 0:00,13000.0,36.00689999,-104.7136,NM,Mora County
600628,New Mexico State Forestry Division,2000,3/16/2000 0:00,Human,Railroad operations and maintenance,3/16/2000 0:00,12800.0,34.75719998,-104.9981,NM,Guadalupe County
600754,New Mexico State Forestry Division,2000,2/12/2000 0:00,Human,Missing data/not specified/undetermined,2/12/2000 0:00,40333.199,33.16166999,-103.6017,NM,Lea County
600763,New Mexico State Forestry Division,2000,2/17/2000 0:00,Human,Railroad operations and maintenance,2/17/2000 0:00,42212.0,34.39666998,-104.4467,NM,De Baca County
600797,New Mexico State Forestry Division,2000,3/7/2000 0:00,Human,Missing data/not specified/undetermined,3/7/2000 0:00,36324.0,32.98833001,-103.6533,NM,Lea County
647982,Texas A & M Forest Service,2000,9/1/2000 0:00,Human,Arson/incendiarism,9/8/2000 0:00,15864.0,30.90208001,-93.58958001,TX,Newton County
1017742,Louisiana Office of Forestry,2000,9/5/2000 0:00,Human,Missing data/not specified/undetermined,,12877.0,30.7653,-92.6456,LA,Not Available
1115940,Florida Forest Service,2000,5/27/2000 0:00,Human,Debris and open burning,,14000.0,26.4131,-80.745,FL,Palm Beach County
1272339,Cleveland National Forest,2000,7/29/2000 0:00,Human,Arson/incendiarism,9/19/2000 0:00,10380.2,33.44305556,-117.0230556,CA,Not Available
1272362,Helena - Lewis and Clark National Forest,2000,7/23/2000 0:00,Human,Recreation and ceremony,8/23/2000 0:00,15000.0,46.64111111,-111.7788889,MT,Not Available
1278104,Lakeview District,2000,8/3/2000 0:00,Human,Equipment and vehicle use,8/5/2000 0:00,10121.0,42.6024,-120.1536,OR,Lake County
1278141,Prineville District,2000,7/22/2000 0:00,Human,Missing data/not specified/undetermined,7/23/2000 0:00,19650.0,45.401,-120.0823,OR,Gilliam County
15001413,Oklahoma Division of Forestry,2000,9/15/2000 0:00,Human,Missing data/not specified/undetermined,9/25/2000 0:00,11577.0,34.38333333,-97.16666666,OK,Not Available
400280067,Pueblo County,2000,4/18/2000 0:00,Human,Missing data/not specified/undetermined,,16000.0,38.291,-103.456,CO,Not Available
400280070,Texas A & M Forest Service,2000,2/25/2000 0:00,Human,Missing data/not specified/undetermined,,20000.0,35.6837,-102.3302,TX,Not Available
400280072,Florida Forest Service,2000,4/13/2000 0:00,Human,Missing data/not specified/undetermined,,15627.0,26.15,-81.533333,FL,Not Available
140732,Mendocino National Forest,2001,8/8/2001 0:00,Human,Missing data/not specified/undetermined,8/20/2001 0:00,24970.0,39.375,-122.635,CA,Not Available
141434,Humboldt-Toiyabe National Forest,2001,8/17/2001 0:00,Human,Power generation/transmission/distribution,8/25/2001 0:00,41830.0,41.66388889,-117.1980556,NV,Humboldt County
142642,Humboldt-Toiyabe National Forest,2001,6/17/2001 0:00,Human,Recreation and ceremony,7/5/2001 0:00,14500.0,38.7725,-119.7977778,CA,Not Available
143458,Eldorado National Forest,2001,8/25/2001 0:00,Human,Missing data/not specified/undetermined,8/25/2001 0:00,16761.0,39.05,-120.5186111,CA,Not Available
276074,Red Lake Agency,2001,4/29/2001 0:00,Human,Arson/incendiarism,4/29/2001 0:00,13820.0,48.1061,-95.5347,MN,Not Available
284728,Colville Agency,2001,8/14/2001 0:00,Human,Smoking,9/16/2001 0:00,32960.0,48.3457,-119.4387,WA,Not Available
289084,Southern California Agency,2001,1/3/2001 0:00,Human,Smoking,1/7/2001 0:00,10353.0,32.7792,-116.8342,CA,Not Available
311024,Alaska Fire Service,2001,6/20/2001 0:00,Human,Debris and open burning,9/10/2001 0:00,84730.0,64.3329,-148.9524,AK,Not Available
311025,Alaska Fire Service,2001,6/20/2001 0:00,Human,Missing data/not specified/undetermined,10/15/2001 0:00,112112.0,64.6618,-148.2055,AK,Not Available
316228,Central California District,2001,8/18/2001 0:00,Human,Arson/incendiarism,9/4/2001 0:00,11185.0,37.7463,-120.2513,CA,Not Available
337816,Twin  Falls District,2001,6/24/2001 0:00,Human,Debris and open burning,6/25/2001 0:00,11058.0,42.64713,-114.42199,ID,Jerome County
337925,Twin  Falls District,2001,9/3/2001 0:00,Human,Debris and open burning,9/15/2001 0:00,18046.6,43.396,-114.5839,ID,Camas County
358281,Spokane District,2001,8/18/2001 0:00,Human,Railroad operations and maintenance,8/23/2001 0:00,11526.0,45.7443,-120.4395,WA,Klickitat County
367683,Big Cypress National Preserve,2001,5/16/2001 0:00,Human,Recreation and ceremony,5/27/2001 0:00,24315.0,26.18851,-81.24764,FL,Not Available
